Station ID,Station,Colorline,Can swap,Swap to
B1,หลักสอง,Blue,0,
B2,บางแค,Blue,0,
B3,ภาษีเจริญ,Blue,0,
B4,เพชรเกษม 48,Blue,0,
B5,บางหว้า,Blue,1,LB1
B6,บางไผ่,Blue,0,
B7,ท่าพระ,Blue,0,
B8,จรัญฯ 13,Blue,0,
B9,ไฟฉาย,Blue,0,
B10,บางขุนนนท์,Blue,0,
B11,บางยี่ขัน,Blue,0,
B12,สิรินธร,Blue,0,
B13,บางพลัด,Blue,0,
B14,บางอ้อ,Blue,0,
B15,บางโพ,Blue,0,
B16,เตาปูน,Blue,1,PU16
B17,บางซี่อ,Blue,1,R6
B18,กำแพงเพชร,Blue,0,
B19,สวนจตุจักร,Blue,1,G17
B20,พหลโยธิน,Blue,1,G16
B21,ลาดพร้าว,Blue,1,Y1
B22,รัชดาภิเษก,Blue,0,
B23,สุทธิสาร,Blue,0,
B24,ห้วยขวาง,Blue,0,
B25,ศูนย์วัฒนธรรมแห่งประเทศไทย,Blue,0,
B26,พระราม 9,Blue,0,
B27,เพชรบุรี,Blue,1,BL3
B28,สุขุมวิท,Blue,0,
B29,พร้อมพงษ์,Blue,1,G29
B30,ศูนย์ประชุมแห่งชาติสิริกิติ์,Blue,0,
B31,คลองเตย,Blue,0,
B32,ลุมพินี,Blue,0,
B33,สีลม,Blue,1,LB11
B34,สามย่าน,Blue,0,
B35,หัวลำโพง,Blue,0,
B36,วัดมังกร,Blue,0,
B37,สามยอด,Blue,0,
B38,สนามไชย,Blue,0,
B39,อิสรภาพ,Blue,0,
LB1,บางหว้า,Lightblue,1,B5
LB2,วุฒากาศ,Lightblue,0,
LB3,ตลาดพลู,Lightblue,1,LY1
LB4,โพธิ์นิมิตร,Lightblue,0,
LB5,วงเวียนใหญ่,Lightblue,0,
LB6,กรุงธนบุรี,Lightblue,1,O3
LB7,สะพานตากสิน,Lightblue,0,
LB8,สุรศักดิ์,Lightblue,0,
LB9,เซนต์หลุยส์,Lightblue,0,
LB10,ช่องนนทรี,Lightblue,1,LY12
LB11,ศาลาแดง,Lightblue,1,B33
LB12,ราชดำริ,Lightblue,0,
LB13,สยาม,Lightblue,1,G25
LB14,สนามกีฬาแห่งชาติ,Lightblue,0,
O1,คลองสาน,Orange,0,
